Day,Susceptibles,Infected,Recovered,Vaccinated (% of population),Deaths (thousands),Mean Unemployment Rate (%),US Debt (USD),US GDP (USD),Post-productivity (trillion $),Current Subsidy Quantitative Policy Level,Total Subsidies (USD),US Tax Wedge ('%' of GDP),US Federal Deficit (USD),US Federal Interest Payment (USD),Federal Reserve Fund Rate (%),US Treasury Yield Long Term (%),US Government Revenue (USD),US Health Index,Defense Imperialism Spending (USD),Income Security Spending (USD),Social Security Spending (USD),Medicare Medicaid Spending (USD),Federal Reserve Balance Sheet (USD),Inflation,US Treasury Yield,Defense Imperialism Index,Income Security Index,Social Security Index,Medicare Medicaid Index,Inflation Index,US Treasury Yield Index,Health Index,Economic Index,Reward,Reward Social Welfare
11,327128930.0,942053.1,666974.94,0.0,8.517,0.10288403422256896,17000095848967.861,21466585914800.0,678004650000.0,3,99071700712.32878,0.1630441,9283843816.092339,893763304.0923371,1.75,0.0192,9589041000.0,[10.021377],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[10.021377],[10.553867],0.7352685996071462,0.7352685996071462
12,327010720.0,992914.0,734264.4,0.0,9.948,0.10483408308763507,17009380181139.598,21466585914800.0,737517800000.0,3,108078218958.90413,0.1630441,9284332171.735447,894251659.7354479,1.75,0.0192,9589041000.0,[10.713769],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[10.713769],[11.376803],0.7473512701807021,0.7473512701807021
13,326890600.0,1042121.94,805186.8,0.0,11.564,0.10700893109026097,17018665001692.666,21466585914800.0,796605550000.0,3,117084737205.47948,0.1630441,9284820553.067406,894740041.0674045,1.75,0.0192,9589041000.0,[11.364616],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[11.364616],[12.177936],0.7141174752850643,0.7141174752850643
14,326769120.0,1089158.0,879624.06,0.0,13.198,0.10842654061237038,17027950310652.756,21466585914800.0,855575560000.0,3,126091255452.05482,0.1630441,9285308960.089558,895228448.0895585,1.75,0.0192,9589041000.0,[12.011422],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[12.011422],[12.985729],0.714581701661197,0.714581701661197
15,326646940.0,1133528.4,957421.06,0.0,14.959,0.10978225280225966,17037236108045.559,21466585914800.0,914432800000.0,3,135097773698.63017,0.1630441,9285797392.80326,895716880.8032612,1.75,0.0192,9589041000.0,[12.629708],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[12.629708],[13.789752],0.6964811040548031,0.6964811040548031
16,326524540.0,1174992.9,1038387.4,0.0,17.563,0.11143519568944399,17046522393896.768,21466585914800.0,973001650000.0,3,144104291945.2055,0.1630441,9286285851.209866,896205339.2098639,1.75,0.0192,9589041000.0,[13.058686],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[13.058686],[14.577312],0.5799408917920585,0.5799408917920585
17,326402340.0,1213247.6,1122315.5,0.0,19.713,0.11274683629739869,17055809168232.078,21466585914800.0,1031431800000.0,3,153110810191.78085,0.1630441,9286774335.310719,896693823.3107183,1.75,0.0192,9589041000.0,[13.589617],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[13.589617],[15.365261],0.6391350337534352,0.6391350337534352
18,326280930.0,1248012.4,1208976.0,0.0,21.96,0.11402017283579786,17065096431077.186,21466585914800.0,1089726450000.0,3,162117328438.3562,0.1630441,9287262845.107178,897182333.1071761,1.75,0.0192,9589041000.0,[14.098764],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[14.098764],[16.14847],0.6245270167188464,0.6245270167188464
19,326160540.0,1279248.9,1298119.6,0.0,24.111,0.11578426201375566,17074384182457.787,21466585914800.0,1147785800000.0,3,171123846684.93155,0.1630441,9287751380.60059,897670868.6005886,1.75,0.0192,9589041000.0,[14.62947],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[14.62947],[16.919527],0.6318936947843434,0.6318936947843434
20,326041400.0,1307020.5,1389494.8,0.0,26.242,0.1169833418302743,17083672422399.58,21466585914800.0,1205716500000.0,3,180130364931.5069,0.1630441,9288239941.792309,898159429.7923079,1.75,0.0192,9589041000.0,[15.164667],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[15.164667],[17.689775],0.6341538942491813,0.6341538942491813
21,325923870.0,1331192.2,1482853.5,0.0,28.151,0.11806518539832807,17092961150928.264,21466585914800.0,1263528200000.0,3,189136883178.08224,0.1630441,9288728528.683685,898648016.6836855,1.75,0.0192,9589041000.0,[15.749718],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[15.749718],[18.45603],0.6613370830645772,0.6613370830645772
22,325808200.0,1351769.6,1577938.5,0.0,30.151,0.11910395209781642,17102250368069.54,21466585914800.0,1321254500000.0,3,198143401424.6576,0.1630441,9289217141.276073,899136629.2760733,1.75,0.0192,9589041000.0,[16.314333],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[16.314333],[19.220373],0.6487001156073596,0.6487001156073596
23,325694700.0,1368751.2,1674493.4,0.0,32.632,0.12040919855438884,17111540073849.11,21466585914800.0,1378843900000.0,3,207149919671.23294,0.1630441,9289705779.570824,899625267.5708236,1.75,0.0192,9589041000.0,[16.770931],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[16.770931],[19.977758],0.5832301485346498,0.5832301485346498
24,325583520.0,1382122.6,1772261.2,0.0,35.225,0.12136716228376894,17120830268292.678,21466585914800.0,1436354300000.0,3,216156437917.8083,0.1630441,9290194443.569286,900113931.5692879,1.75,0.0192,9589041000.0,[17.20238],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[17.20238],[20.734377],0.5683448346309596,0.5683448346309596
25,325474900.0,1392001.1,1870984.2,0.0,37.415,0.12227881860758648,17130120951425.951,21466585914800.0,1493790100000.0,3,225162956164.38364,0.1630441,9290683133.27282,900602621.2728186,1.75,0.0192,9589041000.0,[17.724327],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[17.724327],[21.488358],0.619633319669908,0.619633319669908
26,325368770.0,1398731.1,1970413.1,0.0,39.516,0.12314582233951984,17139412123274.635,21466585914800.0,1551154500000.0,3,234169474410.95898,0.1630441,9291171848.68277,901091336.682768,1.75,0.0192,9589041000.0,[18.26626],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[18.26626],[22.239822],0.6301461650532758,0.6301461650532758
27,325265180.0,1402460.8,2070322.5,0.0,41.451,0.12378592495548947,17148703783864.436,21466585914800.0,1608525400000.0,3,243175992657.53433,0.1630441,9291660589.800488,901580077.800488,1.75,0.0192,9589041000.0,[18.845472],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[18.845472],[22.99441],0.6530448015114076,0.6530448015114076
28,325164060.0,1403343.0,2170498.0,0.0,43.438,0.12456315504537055,17157995933221.062,21466585914800.0,1665832300000.0,3,252182510904.10968,0.1630441,9292149356.62733,902068844.627331,1.75,0.0192,9589041000.0,[19.413006],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[19.413006],[23.743998],0.6441789493283792,0.6441789493283792
29,325065700.0,1401494.1,2270737.0,0.0,45.695,0.1253005874746739,17167288571370.227,21466585914800.0,1723078700000.0,3,261189029150.68503,0.1630441,9292638149.16465,902557637.1646495,1.75,0.0192,9589041000.0,[19.919907],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[19.919907],[24.491438],0.6081682618921832,0.6081682618921832
30,324969900.0,1397189.0,2370843.8,0.0,48.171,0.12594716333238543,17176581698337.64,21466585914800.0,1780330500000.0,3,270195547397.26038,0.1630441,9293126967.413795,903046455.4137958,1.75,0.0192,9589041000.0,[20.377628],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[20.377628],[25.241556],0.58082082465384,0.58082082465384
31,324876670.0,1390580.2,2470643.0,0.0,50.638,0.12660125277426168,17185875314149.018,21466585914800.0,1837528500000.0,3,279202065643.8357,0.1630441,9293615811.376122,903535299.3761224,1.75,0.0192,9589041000.0,[20.837372],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[20.837372],[25.987436],0.5802065737306323,0.5802065737306323
32,324786180.0,1381770.4,2569970.0,0.0,53.056,0.12722000707700537,17195169418830.07,21466585914800.0,1894675500000.0,3,288208583890.411,0.1630441,9294104681.052982,904024169.052982,1.75,0.0192,9589041000.0,[21.308119],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[21.308119],[26.731512],0.5858180152980669,0.5858180152980669
33,324698180.0,1371030.2,2668668.2,0.0,55.111,0.12787589126165783,17204464012406.516,21466585914800.0,1951739500000.0,3,297215102136.9863,0.1630441,9294593576.445728,904513064.4457272,1.75,0.0192,9589041000.0,[21.860382],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[21.860382],[27.47124],0.6311860912717742,0.6311860912717742
34,324612740.0,1358566.8,2766598.8,0.0,56.843,0.12770088863129497,17213759094904.072,21466585914800.0,2008934800000.0,3,306221620383.56165,0.1630441,9295082497.55571,905001985.5557106,1.75,0.0192,9589041000.0,[22.48518],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[22.48518],[28.22393],0.6786415852154534,0.6786415852154534
35,324529500.0,1344777.8,2863639.0,0.0,58.256,0.12817265654260582,17223054666348.457,21466585914800.0,2066091100000.0,3,315228138630.13696,0.1630441,9295571444.384285,905490932.3842852,1.75,0.0192,9589041000.0,[23.181614],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[23.181614],[28.968815],0.7168318070979052,0.7168318070979052
36,324448700.0,1329511.6,2959695.2,0.0,59.742,0.12861594279863964,17232350726765.39,21466585914800.0,2123211100000.0,3,324234656876.7123,0.1630441,9296060416.932804,905979904.932804,1.75,0.0192,9589041000.0,[23.861654],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[23.861654],[29.712418],0.7068009769922283,0.7068009769922283
37,324370180.0,1313109.4,3054659.5,0.0,61.972,0.12894330083907937,17241647276180.594,21466585914800.0,2180362500000.0,3,333241175123.2876,0.1630441,9296549415.202621,906468903.2026196,1.75,0.0192,9589041000.0,[24.374619],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[24.374619],[30.459742],0.6116299955728148,0.6116299955728148
38,324293900.0,1295562.8,3148453.2,0.0,64.346,0.12932298932016104,17250944314619.79,21466585914800.0,2237540600000.0,3,342247693369.8629,0.1630441,9297038439.195084,906957927.1950849,1.75,0.0192,9589041000.0,[24.855246],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[24.855246],[31.20791],0.5932621423314894,0.5932621423314894
39,324220030.0,1276887.1,3240993.5,0.0,66.53,0.12967511785284908,17260241842108.701,21466585914800.0,2294690000000.0,3,351254211616.43823,0.1630441,9297527488.911552,907446976.9115534,1.75,0.0192,9589041000.0,[25.37854],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[25.37854],[31.952888],0.6166237028925281,0.6166237028925281
40,324148400.0,1257286.5,3332199.8,0.0,68.408,0.12985981209420333,17269539858673.055,21466585914800.0,2351882000000.0,3,360260729863.01355,0.1630441,9298016564.353378,907936052.353378,1.75,0.0192,9589041000.0,[25.970552],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[25.970552],[32.70218],0.6582260455287913,0.6582260455287913
41,324078880.0,1237059.2,3422006.0,0.0,70.18,0.1298581420708404,17278838364338.576,21466585914800.0,2409248800000.0,3,369267248109.58887,0.1630441,9298505665.521912,908425153.5219121,1.75,0.0192,9589041000.0,[26.586369],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[26.586369],[33.46286],0.6768033206179924,0.6768033206179924
42,324011300.0,1216244.1,3510367.5,0.0,71.381,0.13012474046346392,17288137359130.994,21466585914800.0,2466593600000.0,3,378273766356.1642,0.1630441,9298994792.41851,908914280.4185089,1.75,0.0192,9589041000.0,[27.33041],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[27.33041],[34.21543],0.7476322616156807,0.7476322616156807
43,323945820.0,1194837.1,3597241.8,0.0,72.751,0.13034045637741404,17297436843076.04,21466585914800.0,2523920900000.0,3,387280284602.7395,0.1630441,9299483945.044521,909403433.0445216,1.75,0.0192,9589041000.0,[28.0365],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[28.0365],[34.967495],0.7254454800935284,0.7254454800935284
44,323882400.0,1172924.5,3682587.5,0.0,74.928,0.129912352428492,17306736816199.44,21466585914800.0,2581428700000.0,3,396286802849.3148,0.1630441,9299973123.401302,909892611.4013038,1.75,0.0192,9589041000.0,[28.561367],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[28.561367],[35.7336],0.6264278911939347,0.6264278911939347
45,323821060.0,1150508.9,3766367.8,0.0,77.246,0.13001872287831867,17316037278526.93,21466585914800.0,2638928000000.0,3,405293321095.89014,0.1630441,9300462327.490208,910381815.4902091,1.75,0.0192,9589041000.0,[29.05457],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[29.05457],[36.492386],0.6050132386744222,0.6050132386744222
46,323761860.0,1127495.8,3848547.2,0.0,79.146,0.12994253148456414,17325338230084.242,21466585914800.0,2696462500000.0,3,414299839342.46545,0.1630441,9300951557.312592,910871045.312591,1.75,0.0192,9589041000.0,[29.64164],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[29.64164],[37.25412],0.6606041441482127,0.6606041441482127
47,323704500.0,1104344.1,3929082.5,0.0,80.91,0.13002247967040104,17334639670897.111,21466585914800.0,2753990500000.0,3,423306357589.0408,0.1630441,9301440812.869804,911360300.869803,1.75,0.0192,9589041000.0,[30.259253],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[30.259253],[38.01406],0.6775318792016902,0.6775318792016902
48,323648900.0,1081060.9,4007964.2,0.0,82.38,0.1297000739032488,17343941600991.275,21466585914800.0,2811690700000.0,3,432312875835.6161,0.1630441,9301930094.1632,911849582.163199,1.75,0.0192,9589041000.0,[30.942886],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[30.942886],[38.786892],0.7211866490161966,0.7211866490161966
49,323595070.0,1057650.1,4085182.8,0.0,83.378,0.12931285662831787,17353244020392.469,21466585914800.0,2869482000000.0,3,441319394082.1914,0.1630441,9302419401.194134,912338889.1941329,1.75,0.0192,9589041000.0,[31.732515],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[31.732515],[39.56006],0.7826976418276395,0.7826976418276395
50,323543070.0,1034150.06,4160729.5,0.0,84.401,0.12924037031371824,17362546929126.434,21466585914800.0,2927279200000.0,3,450325912328.7667,0.1630441,9302908733.963959,912828221.9639583,1.75,0.0192,9589041000.0,[32.51653],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[32.51653],[40.330368],0.7782456415696837,0.7782456415696837
51,323492640.0,1010689.06,4234596.5,0.0,85.989,0.1291112157564447,17371850327218.908,21466585914800.0,2985116600000.0,3,459332430575.34204,0.1630441,9303398092.47403,913317580.4740293,1.75,0.0192,9589041000.0,[33.173664],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[33.173664],[41.103374],0.7059164649789971,0.7059164649789971
52,323443900.0,987214.0,4306789.5,0.0,87.683,0.12899494988585375,17381154214695.635,21466585914800.0,3042964000000.0,3,468338948821.91736,0.1630441,9303887476.7257,913806964.7256998,1.75,0.0192,9589041000.0,[33.806995],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[33.806995],[41.875637],0.6918211608156077,0.6918211608156077
53,323397000.0,963627.75,4377304.5,0.0,89.446,0.1288026142989846,17390458591582.355,21466585914800.0,3100856300000.0,3,477345467068.4927,0.1630441,9304376886.720325,914296374.720324,1.75,0.0192,9589041000.0,[34.42483],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[34.42483],[42.65084],0.684087767046089,0.684087767046089
54,323351550.0,940205.5,4446135.0,0.0,91.067,0.12864407767310906,17399763457904.814,21466585914800.0,3158820800000.0,3,486351985315.068,0.1630441,9304866322.459255,914785810.459256,1.75,0.0192,9589041000.0,[35.074554],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[35.074554],[43.4296],0.7040478450353519,0.7040478450353519
55,323307400.0,917230.75,4513292.0,0.0,92.236,0.1283849046484799,17409068813688.758,21466585914800.0,3216836100000.0,3,495358503561.6433,0.1630441,9305355783.943851,915275271.94385,1.75,0.0192,9589041000.0,[35.825783],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[35.825783],[44.209457],0.7632819033959262,0.7632819033959262
56,323264500.0,894568.7,4578808.5,0.0,93.051,0.12777788309639343,17418374658959.934,21466585914800.0,3274960800000.0,3,504365021808.2186,0.1630441,9305845271.17546,915764759.1754602,1.75,0.0192,9589041000.0,[36.656506],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[36.656506],[44.99537],0.8118582898898722,0.8118582898898722
57,323222900.0,872288.94,4642707.0,0.0,94.272,0.12761138267969066,17427680993744.09,21466585914800.0,3333100100000.0,3,513371540054.79395,0.1630441,9306334784.155441,916254272.1554412,1.75,0.0192,9589041000.0,[37.396057],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[37.396057],[45.77836],0.757838841120601,0.757838841120601
58,323182530.0,850379.5,4705013.0,0.0,95.7,0.12744077869009793,17436987818066.975,21466585914800.0,3391253600000.0,3,522378058301.36926,0.1630441,9306824322.885147,916743810.8851473,1.75,0.0192,9589041000.0,[38.089123],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[38.089123],[46.56188],0.7311477412687943,0.7311477412687943
59,323143330.0,828845.9,4765755.0,0.0,97.168,0.12726625060189284,17446295131954.34,21466585914800.0,3449421800000.0,3,531384576547.9446,0.1630441,9307313887.365932,917233375.3659331,1.75,0.0192,9589041000.0,[38.773205],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[38.773205],[47.345943],0.7261755189417725,0.7261755189417725
60,323105280.0,807701.1,4824958.0,0.0,98.349,0.12714046042684046,17455602935431.94,21466585914800.0,3507630000000.0,3,540391094794.5199,0.1630441,9307803477.599152,917722965.5991527,1.75,0.0192,9589041000.0,[39.52174],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[39.52174],[48.132347],0.7644770442156146,0.7644770442156146
61,323068160.0,787115.75,4882650.5,0.0,99.553,0.1261892923845146,17464911228525.525,21466585914800.0,3566006400000.0,3,549397613041.0952,0.1630441,9308293093.586163,918212581.5861614,1.75,0.0192,9589041000.0,[40.26511],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[40.26511],[48.929306],0.7659302524980591,0.7659302524980591
62,323031840.0,767212.2,4938873.5,0.0,100.63,0.1255161269562833,17474220011260.854,21466585914800.0,3624557000000.0,3,558404131287.6705,0.1630441,9308782735.328312,918702223.3283136,1.75,0.0192,9589041000.0,[41.037],1852054800.0,830136960.0,2843835600.0,3446575400.0,4173626000000.0,0.017,0.0192,[0.],[0.],[0.],[0.],[0.],[0.],[41.037],[49.732635],0.7851250464406831,0.7851250464406831
